,Symbol,Perc_Return
16,PINS,0.3379482279969852
8,AVXL,0.2190082457358542
115,EXAS,0.19850950635705344
58,ARWR,0.16038878083498598
137,QID,0.13218397671456117
139,DUST,0.10926229829894774
27,SAM,0.09752442253855431
38,UA,0.08230082617732992
57,NIO,0.0737359696356521
127,SFIX,0.05645904093197074
12,POR,0.05503353656538379
119,BIO,0.05363202327312799
131,SCHW,0.046322210547594
170,PKI,0.044589635207029854
95,TWOU,0.03511236105553972
166,GM,0.032286935477561896
105,SNOW,0.03092528396780847
82,GOOGL,0.030879655346994328
162,NCLH,0.026543109726935965
112,PBFS,0.019396585167589242
5,RDN,0.011267648616307246
50,REGI,0.009486354110017192
138,UUP,0.0031633025231303513
96,EGRX,0.001506990175984324
3,$,0.0
146,ALB,-0.002247902896474918
160,LUV,-0.003780280361019517
156,BABA,-0.008525577228212233
107,GTBIF,-0.008816142463087262
75,UBER,-0.0091933974516194
155,FB,-0.010604322197146354
92,T,-0.011342827179208648
117,GLDM,-0.011621828692890857
36,LVGO,-0.015149337121079798
52,NTDOY,-0.01626717708074421
61,SBUX,-0.017623109102500645
93,VZ,-0.018260078768735255
168,EWH,-0.0182648230820891
150,EEM,-0.018656766093002375
148,VOX,-0.018925667223787968
118,SLV,-0.019179317739184465
129,HELE,-0.02111619746160054
124,MAA,-0.023526499753437236
135,XLC,-0.025995361107108317
14,MGM,-0.031544260052441264
161,JETS,-0.032590034435876825
158,TSM,-0.03264122608158326
63,PAAS,-0.032846769950442556
144,MOS,-0.03343779571876948
41,CLX,-0.03600169912740514
116,KO,-0.03937632328748075
32,ARKF,-0.041041276384840675
69,WMT,-0.0411858644001849
60,NEE,-0.04175395782322988
104,DIS,-0.043845104216051256
88,QCOM,-0.0439432552320157
90,VXUS,-0.04461100883765634
98,MELI,-0.04509269914149061
159,TMUS,-0.04688586841139297
64,BRK-B,-0.047237079857664344
85,CHTR,-0.04748229492270717
19,KHC,-0.048818398702528465
39,DOC,-0.0522765743291258
108,AZN,-0.05412029036299404
76,HDS,-0.054778222881092575
62,DLTR,-0.05483463789915399
79,BGSAX,-0.055831928390253305
125,HON,-0.05667393130228959
128,SWK,-0.057716337752309
2,MRK,-0.057873013160633535
132,BXMT,-0.05815972653390067
133,VDC,-0.05843462403188149
45,DG,-0.05863515225443772
110,CVS,-0.05873468687762706
89,VTI,-0.0594761891134149
40,IVV,-0.05977906833152191
152,IP,-0.05994844994935322
83,ATVI,-0.06065491469926498
81,TRBCX,-0.06077553374708056
134,IHE,-0.061368216776039985
109,COST,-0.06269332938099481
30,ARKW,-0.06339278298341255
151,XBI,-0.06508046696042769
34,PFE,-0.06508566985630304
167,ORLY,-0.06511638514423068
80,TWCIX,-0.06565202978476803
15,PETS,-0.06834645909587234
169,ORCL,-0.06933156811578756
126,URBN,-0.07071550325280684
111,MCD,-0.07136938337912901
26,AMZN,-0.07228262248023498
121,HD,-0.07282907578503517
142,CMCSA,-0.07287093052570726
106,TEVA,-0.07332620526801192
91,AMZA,-0.07429716786168528
20,TGT,-0.07700701606382632
56,SWKS,-0.07744042496252301
77,MSFT,-0.07825731655658474
141,TTWO,-0.07906314918110324
35,ARKQ,-0.08028029943976567
136,IXN,-0.08257049633023616
1,BIP,-0.08450702161531509
47,KL,-0.08467097126371104
153,XLK,-0.08470939484452744
29,AAPL,-0.0853637734773598
114,SPOT,-0.08630732986812639
123,MDT,-0.08680648140393055
21,ZG,-0.08725861526376211
94,Z,-0.08742660704776606
113,AFL,-0.08761081434408224
122,STZ,-0.08954154938595316
7,PYPL,-0.08960622322761647
120,KTOS,-0.09139016076039996
4,NVDA,-0.0924954468897714
33,STNE,-0.0925734105197884
103,V,-0.09262952312892203
24,REGN,-0.09367391468063757
143,AMD,-0.09474567063727879
65,BX,-0.0960918022167645
157,FROG,-0.09665752021080654
53,TWTR,-0.09714037610865411
18,UPS,-0.09934648927143741
46,BIIB,-0.09978215587647277
43,DBX,-0.10137792799608614
51,CRM,-0.1016437236947435
147,PKB,-0.10227029047796099
99,ILMN,-0.10300017039939857
54,NFLX,-0.10371331425201258
37,ARKG,-0.1077633334489616
149,QRTEB,-0.10807290914817691
74,LOW,-0.1102982058600449
86,ADBE,-0.11081500419448276
97,TDOC,-0.11220564564869373
0,BIG,-0.11276799402959015
28,VFC,-0.1136903558596356
31,ARKK,-0.11648502308159081
25,TSLA,-0.11742898834582127
78,EXEL,-0.11838140569051692
171,EPAM,-0.11872092377456567
70,GRUB,-0.12307324761827909
66,RXL,-0.12399977004863405
165,SHOP,-0.13285105410482756
67,ROM,-0.1347291089386582
